Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gibraltar,GIB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Real interest rate (%),FR.INR.RINR,20.28236584,14.67528579,,,15.71537969,15.01263906,12.29996312,,,,,,,,,,,,,,,,
"Gambia, The",GMB,Real interest rate (%),FR.INR.RINR,20.45012162,20.27487212,15.80848621,33.46679223,18.93827309,27.09540165,21.3105658,21.80095961,12.32764694,14.56180216,16.82022293,30.2363864,27.29103156,22.65009868,24.49593815,20.7448681,21.68416844,22.63712634,23.32082896,20.80924318,18.62903993,,
Guinea-Bissau,GNB,Real interest rate (%),FR.INR.RINR,10.61574661,-8.162349501,8.989407951,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Real interest rate (%),FR.INR.RINR,-5.642457935,7.725762893,21.00630069,40.4675071,78.27373591,-12.32963381,-25.94167391,37.07686065,19.89785142,17.25470343,0.921323155,-26.14864259,12.60036163,19.51107687,,,,,,,,,
Greece,GRC,Real interest rate (%),FR.INR.RINR,14.62448429,12.07572845,12.37752281,11.60290401,12.80143464,10.97950811,10.55587591,4.938642416,3.932859534,3.221018743,,,,,,,,,,,,,
Grenada,GRD,Real interest rate (%),FR.INR.RINR,9.065232819,7.873792334,7.324761662,12.43652865,6.511592082,10.30216219,-17.00743366,7.87371781,10.89653084,12.13463967,7.991377657,7.416960788,4.963543719,7.290721792,1.544496951,10.99619442,10.04709439,10.43922513,5.579135251,6.174127413,6.631319645,5.035354272,
Greenland,GRL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Real interest rate (%),FR.INR.RINR,10.0347534,11.49421724,12.68747622,9.588412677,6.448926448,13.77560361,13.15317509,24.02249232,9.783666041,10.07342523,7.290839316,7.004109207,7.399119937,5.320974016,3.610146759,9.95319596,7.798768258,6.07573426,9.837313292,9.897870482,10.44214702,9.646905836,
Guam,GUM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Real interest rate (%),FR.INR.RINR,-1.118773559,6.067608081,13.26283075,15.42924777,13.36545059,5.313250201,10.0390758,19.25857764,11.3010356,9.0116655,9.197633739,6.156009286,-32.0004324,1.693282974,5.101916462,12.15238997,7.346289126,5.615008343,7.67299107,13.306161,13.26959853,12.9320136,
High income,HIC,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Real interest rate (%),FR.INR.RINR,2.049150205,4.427230589,2.470938405,3.535999654,7.686360064,13.1335597,13.34729829,7.023550981,8.697728976,11.71132575,8.910855278,7.911921789,8.329325085,3.5025914,3.671415244,5.395698045,4.716519874,1.060749516,1.405370342,3.084316707,2.040392344,1.024018852,
Honduras,HND,Real interest rate (%),FR.INR.RINR,-3.267785549,1.658346452,5.545578746,8.003766835,17.07790539,16.66565384,-3.054273007,14.50701917,16.70233414,14.22506592,12.61077139,10.76809208,11.47428245,9.359386039,9.412844122,10.95295752,13.55479289,9.971806992,14.35696298,18.45328242,14.29461239,15.01295478,
Heavily indebted poor countries (HIPC),HPC,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Real interest rate (%),FR.INR.RINR,,,18.05146864,7.964316735,6.925061862,10.7958348,7.314201214,5.128374529,9.04470808,7.234369233,7.735161152,7.540104221,5.707919378,5.019762177,4.131074005,8.536481183,9.466399121,7.880502805,7.776584655,8.374482984,,,
Haiti,HTI,Real interest rate (%),FR.INR.RINR,,,,,,20.27572485,18.33960499,20.03878771,21.96384108,13.6355432,21.81917745,3.965278469,10.11306108,13.94917431,4.354477911,13.14035177,11.40871487,3.813334042,3.465436071,2.003009554,5.988900547,4.288858334,
Hungary,HUN,Real interest rate (%),FR.INR.RINR,6.618854534,4.636167503,4.248809533,1.507336695,4.981647525,7.670656335,2.526096828,0.817354768,1.630349828,3.932462821,7.424847001,5.972929464,4.38666295,3.545833306,4.944753906,6.833506908,5.209260336,5.984487094,5.311233912,3.13542583,1.1673418,1.112430873,
IBRD only,IBD,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Real interest rate (%),FR.INR.RINR,9.263275015,8.339212891,9.520961675,8.21363024,-24.60021767,11.82652979,-1.654214472,3.719985957,12.3224125,10.85207335,5.134404754,-0.245732252,1.658151422,2.339674091,-3.852245026,5.747952096,-1.746097536,4.594376749,7.750188565,6.374931242,6.848935726,8.089383908,
IDA only,IDX,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
